Capture-Date,Name,Record,Height,Weight(lbs),Reach,Stance,DOB,Sig. Strikes Landed,Sig. Strikes Accuracy,Sig. Strikes Absorbed,Sig. Strike Defence,Take Down Averge,Take Down Accuracy,Take Down Defense,Submission Averge,
2020-06-25 23:37:30.719860,Tom Lawlor,10-6-0 (1 NC),6-0,205,74,Southpaw,May 15 1983,2.50,42%,2.41,60%,2.46,32%,57%,1.4,
2020-06-25 23:37:31.016525,Justin Lawrence,10-4-0,5-8,145,67,Orthodox,May 15 1990,3.84,35%,2.83,67%,0.72,28%,73%,0.0,
2020-06-25 23:37:31.287364,Lance Lawrence,4-1-0,6-1,145,74,Orthodox,Jun 26 1993,5.87,50%,9.80,24%,1.00,100%,50%,0.0,
2020-06-25 23:37:31.520922,Eric Lawson,9-5-0,6-0,185,,Orthodox,,1.58,57%,1.97,44%,8.88,42%,0%,3.0,
2020-06-25 23:37:31.808572,Valmir Lazaro,15-5-0,6-0,155,73,Orthodox,Aug 15 1985,4.87,37%,4.09,61%,1.33,40%,96%,0.0,
2020-06-25 23:37:32.060544,Mounir Lazzez,9-1-0,6-1,170,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:32.331130,Cung Le,9-3-0,5-9,185,70,Southpaw,May 25 1972,4.36,48%,2.98,66%,1.37,71%,88%,0.3,
2020-06-25 23:37:32.658381,Thanh Le,6-1-0,5-9,145,74,Orthodox,Aug 28 1985,1.97,40%,1.82,70%,0.00,0%,100%,0.0,
2020-06-25 23:37:32.909931,Jerome LeBanner,3-2-0,6-3,265,,Southpaw,Dec 26 1972,0.92,35%,1.03,37%,0.00,0%,50%,0.0,
2020-06-25 23:37:33.174174,Chris Leben,22-11-0,5-11,185,73,Southpaw,Jul 21 1980,2.87,42%,2.87,52%,1.14,41%,53%,0.8,
2020-06-25 23:37:33.611324,Mickael Lebout,16-7-1 (1 NC),5-11,155,73,Orthodox,Aug 16 1987,2.60,34%,2.98,54%,0.00,0%,60%,0.0,
2020-06-25 23:37:33.870326,Stephen Ledbetter,8-3-0,5-9,145,,Orthodox,Jun 30 1982,1.20,38%,1.60,57%,5.00,45%,100%,0.0,
2020-06-25 23:37:34.106334,Justin Ledet,9-3-0 (1 NC),6-4,205,80,Orthodox,Sep 28 1988,3.33,39%,4.67,49%,0.24,50%,42%,0.2,
2020-06-25 23:37:34.378529,James Lee,15-3-0 (1 NC),5-11,205,,Southpaw,Sep 22 1973,1.40,42%,3.72,27%,13.95,50%,0%,7.0,
2020-06-25 23:37:34.699692,David Lee,12-10-0,5-10,155,,Orthodox,,1.49,50%,3.31,42%,0.00,0%,50%,0.0,
2020-06-25 23:37:34.932477,Jackie Lee,0-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:35.184869,Eun Soo Lee,17-4-0 (1 NC),6-1,215,,Orthodox,Mar 07 1982,0.00,0%,3.05,60%,0.00,0%,50%,0.0,
2020-06-25 23:37:35.432983,Tae Hyun Lee,1-2-0,6-6,295,,Orthodox,Jan 17 1975,1.37,31%,3.89,54%,5.15,100%,0%,0.0,
2020-06-25 23:37:35.682526,Tommy Lee,25-6-0 (1 NC),5-7,145,,Orthodox,Jan 20 1977,0.00,0%,0.30,75%,4.57,33%,0%,0.0,
2020-06-25 23:37:35.910354,Matt Lee,14-10-1,5-11,155,,Orthodox,,0.00,0%,9.68,21%,0.00,0%,0%,0.0,
2020-06-25 23:37:36.151882,Imani Lee,2-4-0,,,,Orthodox,,0.00,0%,0.94,33%,0.00,0%,0%,0.0,
2020-06-25 23:37:36.425318,Vaughan Lee,14-13-1,5-6,125,66,Orthodox,Oct 15 1982,3.47,47%,2.07,70%,0.81,33%,72%,1.0,
2020-06-25 23:37:36.729890,Kevin Lee,18-6-0,5-9,170,77,Orthodox,Sep 04 1992,3.90,42%,3.23,51%,3.21,43%,75%,0.8,
2020-06-25 23:37:37.120056,Rocky Lee,3-2-0,5-9,145,,Orthodox,Apr 08 1987,2.47,51%,5.33,44%,1.00,10%,33%,0.0,
2020-06-25 23:37:37.362446,Andrea Lee,11-4-0,5-6,125,69,Orthodox,Feb 11 1989,5.40,48%,3.80,65%,1.40,38%,61%,0.6,
2020-06-25 23:37:37.631809,Ricky Legere Jr.,14-4-0,5-8,170,,,,1.07,41%,1.53,60%,5.00,41%,0%,0.0,
2020-06-25 23:37:37.890795,Sherron Leggett,21-6-0,5-8,155,,Southpaw,Oct 27 1978,2.86,51%,2.08,47%,5.19,80%,33%,0.0,
2020-06-25 23:37:38.109531,Cheyden Leialoha,6-0-0,5-8,135,73,Orthodox,Mar 15 1994,1.87,28%,3.20,53%,2.00,33%,71%,0.0,
2020-06-25 23:37:38.363627,Thales Leites,28-9-0,6-1,185,78,Orthodox,Sep 06 1981,2.13,40%,2.99,52%,2.10,27%,30%,1.1,
2020-06-25 23:37:38.786918,Stefan Leko,0-3-0,6-2,215,,Orthodox,Jun 03 1974,2.40,43%,6.17,68%,0.00,0%,0%,0.0,
2020-06-25 23:37:39.051082,Gabe Lemley,13-9-0,5-8,155,,Orthodox,,0.82,35%,6.03,45%,0.00,0%,0%,0.0,
2020-06-25 23:37:39.321906,Amanda Lemos,7-1-1,5-4,135,65,Southpaw,May 22 1987,6.55,64%,9.05,47%,2.59,100%,0%,1.3,
2020-06-25 23:37:39.586007,Giacomo Lemos,6-0-0,6-3,247,75,Orthodox,Jun 23 1989,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:39.825272,Christophe Leninger,3-4-0,6-0,200,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:40.075811,Jesse Lennox,14-4-0,5-9,170,72,Orthodox,Mar 10 1982,2.69,32%,3.20,64%,1.22,66%,63%,0.3,
2020-06-25 23:37:40.393032,Jean Francois Lenogue,16-17-3,6-0,185,,Orthodox,Nov 29 1972,1.13,34%,0.27,60%,0.00,0%,33%,0.0,
2020-06-25 23:37:40.640976,Nik Lentz,30-11-2 (1 NC),5-8,155,68,Orthodox,Aug 13 1984,3.46,48%,3.14,49%,3.41,33%,45%,1.2,
2020-06-25 23:37:41.064986,Alberta Cerra Leon,0-1-0,5-8,238,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:41.307004,Anthony Leone,15-8-0,5-6,135,,Orthodox,May 27 1987,1.94,53%,2.52,56%,1.72,18%,0%,0.0,
2020-06-25 23:37:41.544086,Chad Leonhardt,9-4-0,6-0,170,,,Feb 19 1980,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:41.773131,Kimo Leopoldo,10-7-1,6-3,235,,Orthodox,Jan 05 1968,0.76,83%,2.12,30%,4.55,100%,0%,2.3,
2020-06-25 23:37:42.060199,Michael Lerma,0-1-0,,,,,,0.00,0%,6.47,45%,0.00,0%,0%,0.0,
2020-06-25 23:37:42.345880,Lukasz Les,8-3-0,,170,,,Nov 05 1981,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:42.599652,Brock Lesnar,5-3-0 (1 NC),6-3,265,81,Orthodox,Jul 12 1977,3.53,72%,2.11,50%,3.90,55%,60%,0.5,
2020-06-25 23:37:42.920300,Frank Lester,11-6-0 (1 NC),5-11,170,,Orthodox,Jun 10 1984,2.18,36%,3.82,53%,0.00,0%,0%,0.0,
2020-06-25 23:37:43.179814,Valerie Letourneau,8-6-0,5-7,115,68,Orthodox,Apr 29 1983,4.51,37%,5.40,58%,0.77,45%,66%,0.3,
2020-06-25 23:37:43.454132,Leah Letson,5-2-0,5-7,145,71,,Aug 21 1992,4.87,40%,3.80,63%,0.00,0%,100%,0.0,
2020-06-25 23:37:43.710155,Justin Levens,10-7-0,5-11,185,,Orthodox,Apr 18 1980,1.24,47%,3.15,37%,1.69,50%,33%,5.1,
2020-06-25 23:37:43.967628,Marcus LeVesseur,22-7-0,5-9,155,70,Southpaw,Jul 17 1982,2.55,64%,3.70,37%,3.89,36%,83%,0.6,
2020-06-25 23:37:44.250845,David Levicki,1-3-0,6-5,275,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:44.507061,Kyle Levinton,0-3-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:44.777058,John Lewis,3-4-3,6-0,155,,Southpaw,,0.00,0%,4.00,66%,0.00,0%,0%,0.0,
2020-06-25 23:37:44.995718,Derrick Lewis,23-7-0 (1 NC),6-3,260,79,Orthodox,Feb 07 1985,2.53,49%,2.14,44%,0.48,24%,53%,0.0,
2020-06-25 23:37:45.356640,Bevon Lewis,7-2-0,6-3,185,79,Orthodox,May 05 1991,4.05,45%,2.52,57%,0.00,0%,100%,0.0,
2020-06-25 23:37:45.606615,Chi Lewis-Parry,7-0-1 (2 NC),6-9,243,,,Aug 10 1983,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:45.848199,Jingliang Li,17-6-0,6-0,170,71,Orthodox,Mar 20 1988,4.51,42%,3.69,59%,1.32,39%,59%,0.0,
2020-06-25 23:37:46.155991,Jess Liaudin,20-11-0,5-9,170,72,Orthodox,,2.46,51%,2.76,41%,3.28,53%,30%,1.6,
2020-06-25 23:37:46.419815,Chuck Liddell,21-8-0,6-2,205,76,Orthodox,Dec 17 1969,2.97,35%,2.71,56%,0.44,75%,81%,0.0,
2020-06-25 23:37:46.800591,Sam Liera,12-10-0,,,,,,0.82,60%,7.36,51%,0.00,0%,66%,0.0,
2020-06-25 23:37:47.040551,Zach Light,9-11-0,5-8,170,,Orthodox,Feb 06 1974,0.81,33%,1.90,48%,1.36,100%,0%,0.0,
2020-06-25 23:37:47.309965,Scott Lighty,6-2-0,6-2,205,,,Oct 15 1978,2.91,21%,4.24,49%,0.00,0%,0%,0.0,
2020-06-25 23:37:47.540812,Chris Liguori,15-10-0,5-9,185,,Orthodox,,0.29,33%,1.44,0%,0.00,0%,50%,0.0,
2020-06-25 23:37:47.793629,Donnie Liles,17-7-0,5-9,170,,Orthodox,,2.25,41%,1.75,65%,2.50,28%,0%,1.2,
2020-06-25 23:37:48.029954,Jae Suk Lim,17-6-0,5-9,170,,Orthodox,Nov 09 1979,2.43,50%,4.05,37%,12.16,100%,100%,0.0,
2020-06-25 23:37:48.338777,Hyun Gyu Lim,13-7-1,6-3,170,77,Orthodox,Jan 16 1985,4.45,41%,5.07,51%,0.23,100%,73%,0.2,
2020-06-25 23:37:48.608794,Juliana Lima,9-5-0,5-5,115,65,Orthodox,Mar 15 1982,1.94,44%,2.11,55%,1.72,31%,70%,0.0,
2020-06-25 23:37:48.854335,Dhiego Lima,17-7-0,6-2,170,75,Orthodox,Jan 31 1989,2.84,40%,2.96,62%,1.66,44%,66%,0.8,
2020-06-25 23:37:49.219520,Douglas Lima,29-6-0,6-1,170,,,Jan 05 1988,1.92,36%,2.84,60%,0.60,100%,46%,0.0,
2020-06-25 23:37:49.433284,Mabelly Lima,7-1-0,5-2,135,,Orthodox,Jan 25 1994,3.07,63%,5.67,44%,0.00,0%,100%,0.0,
2020-06-25 23:37:49.670339,Miguel Linares,2-4-0,,,,,,6.51,50%,8.84,36%,0.00,0%,0%,0.0,
2020-06-25 23:37:49.904059,Matt Lindland,22-9-0,6-0,185,74,Southpaw,May 17 1970,2.62,50%,1.56,52%,3.01,48%,60%,1.3,
2020-06-25 23:37:50.285245,Jake Lindsey,12-7-0,5-11,155,,Switch,Jun 21 1986,3.44,52%,4.01,46%,0.65,33%,50%,0.0,
2020-06-25 23:37:50.543591,John Lineker,31-9-0,5-3,135,67,Orthodox,Jun 12 1990,5.36,40%,4.27,56%,0.56,58%,67%,0.6,
2020-06-25 23:37:50.883939,Austin Lingo,7-1-0,5-10,145,70,Orthodox,Jul 10 1994,0.80,19%,2.07,43%,1.00,100%,50%,0.0,
2020-06-25 23:37:51.143977,Lucio Linhares,19-8-0,6-2,185,,Orthodox,Dec 08 1973,0.99,22%,3.47,34%,1.86,50%,50%,1.9,
2020-06-25 23:37:51.383823,Philipe Lins,14-4-0,6-2,240,78,Orthodox,Aug 17 1985,2.73,41%,3.33,53%,0.00,0%,0%,0.0,
2020-06-25 23:37:51.635116,Ariane Lipski,12-5-0,5-6,125,67,Orthodox,Jan 26 1994,3.38,31%,4.62,51%,0.33,100%,37%,0.3,
2020-06-25 23:37:51.929685,Dean Lister,13-7-0,6-1,185,75,Orthodox,Feb 13 1976,1.26,35%,1.89,61%,1.58,15%,50%,1.1,
2020-06-25 23:37:52.215980,Wesley Little,4-8-0,6-4,205,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:52.479023,Abner Lloveras,20-9-1,5-11,155,,,Sep 04 1982,6.27,49%,6.87,43%,2.00,20%,0%,0.0,
2020-06-25 23:37:52.729535,Brian Lo-A-Njoe,6-10-3,5-7,155,,Orthodox,,3.87,42%,0.00,0%,0.00,0%,66%,0.0,
2020-06-25 23:37:52.949449,John Lober,5-9-4,5-11,199,,Orthodox,Feb 26 1968,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:53.214629,Artem Lobov,13-15-1 (1 NC),5-9,145,65,Southpaw,Aug 11 1986,3.52,41%,4.82,50%,0.39,25%,52%,0.0,
2020-06-25 23:37:53.503966,Dylan Lockard,6-2-0,5-9,145,72,Orthodox,May 19 1992,1.31,53%,3.31,52%,2.31,40%,28%,1.2,
2020-06-25 23:37:53.769584,Sean Loeffler,31-5-0,6-3,185,,Orthodox,May 23 1982,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:54.006817,Christian Lohsen,4-2-0,6-2,155,77,Southpaw,Jan 24 1995,5.27,49%,6.93,44%,0.00,0%,0%,2.0,
2020-06-25 23:37:54.278123,David Loiseau,23-11-0,6-0,185,76,Orthodox,Dec 17 1979,1.59,44%,3.64,43%,0.43,42%,36%,0.1,
2020-06-25 23:37:54.606210,Hector Lombard,34-10-1 (2 NC),5-9,185,71,Southpaw,Feb 02 1978,3.02,46%,3.35,53%,1.69,48%,77%,0.5,
2020-06-25 23:37:54.949403,Michael Lombardo,4-2-0,6-0,185,72,Orthodox,Apr 03 1990,1.60,58%,4.53,32%,1.00,10%,60%,0.0,
2020-06-25 23:37:55.171061,Rocky Long,21-37-1,,145,,,Feb 18 1978,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:55.423381,Thomas Longacre,6-1-0,5-9,145,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:55.668136,Loma Lookboonmee,4-2-0,5-1,115,61,Orthodox,Jan 18 1996,5.07,54%,3.77,60%,1.00,28%,71%,0.0,
2020-06-25 23:37:55.933732,Lucas Lopes,29-19-0,6-2,185,,,Oct 05 1979,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:56.181419,Dileno Lopes,19-3-0,5-5,135,,,Sep 26 1984,2.37,36%,3.33,53%,2.50,31%,100%,1.5,
2020-06-25 23:37:56.413294,Ivan Lopez,14-3-1,5-6,135,,Southpaw,,0.90,26%,2.24,65%,0.00,0%,30%,0.0,
2020-06-25 23:37:56.655124,Steve Lopez,13-6-1,5-11,155,,Orthodox,Jul 30 1984,1.39,24%,2.69,62%,0.00,0%,37%,0.0,
2020-06-25 23:37:56.903649,Federico Lopez,10-6-0,5-4,139,,Orthodox,,1.78,23%,5.35,30%,0.00,0%,0%,0.0,
2020-06-25 23:37:57.181435,Jorge Lopez,11-5-0,5-10,170,,Orthodox,Nov 21 1988,2.47,59%,2.57,50%,3.50,41%,81%,0.0,
2020-06-25 23:37:57.423462,Christopher Lopez,9-1-0 (1 NC),5-10,170,,,Jan 30 1986,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:57.662705,Matthew Lopez,10-4-0,5-7,135,69,Southpaw,Jan 21 1987,3.13,50%,3.73,55%,3.32,60%,71%,1.3,
2020-06-25 23:37:57.923598,Benito Lopez,10-1-0,5-10,135,73,Switch,Apr 06 1994,4.49,44%,4.80,58%,0.00,0%,78%,0.3,
2020-06-25 23:37:58.185387,Gustavo Lopez,11-5-0,5-5,135,67,Orthodox,Jun 27 1989,0.93,24%,4.87,42%,0.00,0%,27%,0.0,
2020-06-25 23:37:58.419398,Brendan Loughnane,17-3-0,5-10,145,70,Switch,Dec 05 1989,6.23,63%,6.70,53%,1.50,30%,92%,0.0,
2020-06-25 23:37:58.712584,Nate Loughran,11-2-0,6-2,185,,Orthodox,Jul 28 1980,1.81,40%,4.11,59%,0.00,0%,0%,2.1,
2020-06-25 23:37:58.971830,Rashard Lovelace,4-1-0,,155,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:37:59.199644,Ian Loveland,18-10-0,5-8,145,,Orthodox,Sep 07 1983,2.71,40%,2.36,64%,1.00,37%,69%,0.3,
2020-06-25 23:37:59.444881,Jakob Lovstad,11-4-0,6-3,205,,Orthodox,,0.00,0%,9.43,35%,0.00,0%,0%,0.0,
2020-06-25 23:37:59.680522,Waylon Lowe,16-7-0 (2 NC),5-7,145,,Southpaw,Oct 31 1980,1.88,55%,2.40,53%,4.47,55%,83%,0.3,
2020-06-25 23:37:59.948511,Brandon Lowe,2-1-0,,155,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:00.170951,Joseph Lowry,7-1-0,5-10,155,,Orthodox,Dec 12 1989,5.93,42%,11.86,38%,0.00,0%,0%,0.0,
2020-06-25 23:38:00.411570,Robert Lucarelli,0-1-0,6-2,245,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:00.648279,Matt Lucas,15-3-0,6-1,205,,,,1.27,48%,3.93,40%,1.00,10%,0%,0.0,
2020-06-25 23:38:00.879953,Cleber Luciano,14-6-0,5-6,155,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:01.129427,Duane Ludwig,21-14-0,5-10,170,70,Orthodox,Aug 04 1978,4.62,44%,3.05,57%,0.43,25%,59%,0.1,
2020-06-25 23:38:01.477370,Mike Lullo,8-3-0,5-8,145,,Orthodox,Jul 24 1979,2.48,36%,4.84,40%,1.18,11%,0%,0.6,
2020-06-25 23:38:01.734706,Dalcha Lungiambula,10-2-0,5-8,205,76,Orthodox,Jul 31 1987,1.79,55%,2.69,41%,2.83,50%,66%,0.0,
2020-06-25 23:38:02.020664,Alexandru Lungu,14-4-0,6-0,385,,Orthodox,Sep 03 1974,3.61,66%,7.22,40%,0.00,0%,0%,0.0,
2020-06-25 23:38:02.306260,Vicente Luque,18-7-1,5-11,170,75,Orthodox,Nov 27 1991,5.66,53%,5.79,52%,0.73,50%,65%,0.8,
2020-06-25 23:38:02.608094,Thaddeus Luster,0-1-0,6-3,210,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:02.880500,Travis Lutter,10-6-0,5-11,185,75,Orthodox,May 12 1973,0.41,32%,2.42,42%,1.95,24%,30%,0.7,
2020-06-25 23:38:03.136841,Zhenhong Lv,16-6-0,5-8,145,67,Switch,Jun 25 1993,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:03.419067,Stevie Lynch,5-2-0,5-10,170,,Orthodox,,2.47,25%,7.06,41%,0.00,0%,0%,0.0,
2020-06-25 23:38:03.731324,Adam Lynn,17-10-0 (1 NC),5-10,155,,Orthodox,,1.47,63%,6.95,10%,0.00,0%,50%,0.0,
2020-06-25 23:38:03.967317,Chris Lytle,31-18-5,5-11,170,68,Orthodox,Aug 18 1974,3.76,45%,3.03,58%,0.70,55%,55%,2.4,
2020-06-25 23:38:04.369344,Dong Hyun Ma,16-11-3,5-11,155,70,Orthodox,Sep 09 1988,2.84,41%,4.10,54%,1.27,53%,33%,0.0,
2020-06-25 23:38:04.651812,William Macario,9-3-0,5-11,170,75,Orthodox,Jul 01 1991,4.92,54%,3.96,65%,1.85,45%,78%,0.0,
2020-06-25 23:38:04.952790,Jason MacDonald,25-16-0,6-3,185,80,Orthodox,Jun 03 1975,1.55,52%,2.70,46%,1.43,16%,35%,2.0,
2020-06-25 23:38:05.268502,Rob MacDonald,5-4-0,6-3,205,78,Orthodox,Sep 05 1978,1.80,50%,2.04,46%,7.19,80%,80%,5.4,
2020-06-25 23:38:05.580027,Rory MacDonald,19-4-0,6-0,170,76,Orthodox,Jul 22 1989,3.75,42%,2.80,62%,1.77,47%,88%,0.4,
2020-06-25 23:38:05.913309,Ryan MacDonald,10-2-0,5-11,135,71,Switch,Mar 18 1993,2.28,29%,6.49,45%,0.00,0%,0%,0.0,
2020-06-25 23:38:06.167700,Veronica Macedo,6-4-1,5-4,125,64,Southpaw,Oct 30 1995,3.13,39%,5.06,43%,0.57,18%,46%,0.6,
2020-06-25 23:38:06.437210,Clayton MacFarlane,4-1-0,,170,,,,1.33,52%,1.82,55%,1.05,33%,37%,0.0,
2020-06-25 23:38:06.682588,Ilima Macfarlane,6-0-0,5-4,125,,,,4.13,43%,2.93,65%,0.00,0%,50%,1.0,
2020-06-25 23:38:06.966039,Lyoto Machida,24-8-0,6-1,185,74,Southpaw,May 30 1978,2.59,53%,1.57,61%,1.21,65%,75%,0.4,
2020-06-25 23:38:07.441075,War Machine,14-5-0,5-11,170,,Orthodox,Nov 30 1981,2.32,60%,3.17,43%,1.16,50%,40%,0.0,
2020-06-25 23:38:07.668946,Anthony Macias,26-18-0,5-9,185,,Switch,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:07.936228,Reza Madadi,14-6-0,5-11,155,73,Orthodox,Jun 20 1978,2.51,46%,3.31,66%,3.17,33%,89%,0.5,
2020-06-25 23:38:08.275088,Don Madge,9-3-1,6-0,155,72,Southpaw,Nov 12 1990,2.08,52%,0.74,67%,2.22,25%,80%,0.7,
2020-06-25 23:38:08.532070,Ryan Madigan,5-3-0,6-0,170,,Orthodox,,0.00,0%,3.35,47%,0.00,0%,0%,0.0,
2020-06-25 23:38:08.818545,Jon Madsen,8-2-0,6-0,240,72,Orthodox,Feb 12 1980,2.46,41%,1.18,81%,1.32,71%,70%,0.0,
2020-06-25 23:38:09.118105,Mark Madsen,10-0-0,5-8,155,72,Orthodox,Sep 23 1984,2.28,42%,2.53,46%,8.33,64%,0%,0.0,
2020-06-25 23:38:09.384598,Yoshiro Maeda,35-16-5,5-7,139,68,Southpaw,Oct 31 1981,2.36,33%,2.55,63%,2.93,51%,50%,0.7,
2020-06-25 23:38:09.747569,Leonardo Mafra,13-4-0,5-10,155,70,Orthodox,Apr 25 1989,4.55,48%,4.38,43%,2.12,83%,69%,0.4,
2020-06-25 23:38:09.994019,Vinny Magalhaes,14-9-0 (1 NC),6-3,205,75,Orthodox,Jul 02 1984,2.14,24%,3.97,68%,1.55,44%,66%,0.8,
2020-06-25 23:38:10.249685,Vinicius Magalhaes,2-1-0,,145,,,Jul 30 1971,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:10.461988,Caio Magalhaes,10-3-0,6-1,185,73,Orthodox,Dec 14 1987,2.27,40%,2.78,56%,1.05,15%,58%,1.6,
2020-06-25 23:38:10.756916,Bernardo Magalhaes,13-4-0,5-9,155,,Orthodox,Apr 08 1981,1.80,27%,3.37,68%,0.00,0%,0%,0.5,
2020-06-25 23:38:11.006397,Eric Magana,1-1-0,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:11.236359,Brandon Magana,6-2-0,,170,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:11.485776,Angela Magana,11-9-0,5-1,115,65,Orthodox,Aug 02 1983,1.53,28%,4.92,42%,0.40,25%,28%,0.4,
2020-06-25 23:38:11.726272,Neil Magny,23-8-0,6-3,170,80,Orthodox,Aug 03 1987,3.95,47%,2.17,57%,2.55,44%,58%,0.3,
2020-06-25 23:38:12.136892,Ibragim Magomedov,22-8-1,6-0,250,,Orthodox,,0.26,4%,3.86,42%,0.00,0%,0%,0.0,
2020-06-25 23:38:12.425176,Rashid Magomedov,20-2-0,5-9,155,70,Orthodox,Nov 29 1984,4.40,49%,3.05,54%,0.67,57%,89%,0.2,
2020-06-25 23:38:12.690605,Ruslan Magomedov,14-1-0,6-3,242,78,Orthodox,Nov 26 1986,4.02,47%,1.47,66%,0.33,100%,88%,0.0,
2020-06-25 23:38:12.948603,Zabit Magomedsharipov,18-1-0,6-1,145,73,Orthodox,Mar 01 1991,4.89,48%,3.00,64%,5.22,56%,77%,0.8,
2020-06-25 23:38:13.192911,John Maguire,24-9-0,5-9,155,69,Southpaw,May 19 1983,1.41,41%,2.44,65%,2.80,46%,77%,1.1,
2020-06-25 23:38:13.505788,Lolohea Mahe,10-4-1,,,,,,1.71,29%,6.92,40%,2.44,40%,0%,0.0,
2020-06-25 23:38:13.790533,Michelle Maher,1-2-0,,145,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:14.055261,Bill Mahood,20-7-1 (1 NC),6-3,200,,Orthodox,Feb 01 1967,1.54,85%,3.59,17%,0.00,0%,0%,3.9,
2020-06-25 23:38:14.311585,Klayton Mai,8-3-0,5-9,125,,,Nov 30 1986,1.53,42%,1.02,63%,3.83,100%,0%,7.7,
2020-06-25 23:38:14.595330,Demian Maia,28-10-0,6-1,170,72,Southpaw,Nov 06 1977,1.82,43%,2.03,63%,2.55,26%,61%,1.0,
2020-06-25 23:38:15.058157,Jennifer Maia,17-6-1,5-4,125,64,Orthodox,Oct 06 1988,4.05,38%,3.78,53%,0.25,50%,75%,0.0,
2020-06-25 23:38:15.346672,Levan Makashvili,15-2-1,5-8,145,68,Orthodox,Jan 07 1989,2.87,54%,2.07,61%,3.67,42%,85%,0.0,
2020-06-25 23:38:15.623567,John Makdessi,17-7-0,5-8,155,68,Orthodox,May 03 1985,5.36,51%,3.76,70%,0.00,0%,88%,0.0,
2020-06-25 23:38:15.993027,Islam Makhachev,18-1-0,5-10,155,70,Orthodox,Oct 27 1991,2.10,56%,0.76,72%,3.40,68%,93%,0.8,
2020-06-25 23:38:16.109901,Aliev Makhmud,0-1-0,5-6,195,,Southpaw,Feb 13 1970,1.12,30%,2.24,36%,2.10,50%,0%,0.0,
2020-06-25 23:38:16.371638,Zach Makovsky,20-8-0,5-4,125,64,Southpaw,Apr 19 1983,1.94,43%,2.24,62%,3.71,30%,56%,0.3,
2020-06-25 23:38:16.677946,Jeremy Malaterre,4-2-0,5-11,155,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:16.891829,Fabio Maldonado,23-11-0,6-1,205,75,Orthodox,Mar 17 1980,5.29,58%,4.31,53%,0.44,57%,61%,0.6,
2020-06-25 23:38:17.184092,Marvin Maldonado,2-4-0 (1 NC),5-6,135,,,,0.87,56%,3.47,43%,0.00,0%,20%,0.0,
2020-06-25 23:38:17.425203,Bea Malecki,4-0-0,5-9,135,74,Orthodox,Aug 23 1991,6.78,46%,6.14,62%,0.00,0%,78%,1.4,
2020-06-25 23:38:17.677788,Nazareno Malegarie,28-4-0,5-8,155,,,May 16 1986,3.87,34%,3.27,69%,1.00,33%,0%,0.0,
2020-06-25 23:38:17.941453,Carl Malenko,6-4-0,5-11,200,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,
2020-06-25 23:38:18.189655,Mike Malott,5-1-1,6-0,145,,,,4.53,36%,4.53,51%,2.00,33%,0%,0.0,
2020-06-25 23:38:18.445771,Troy Mandaloniz,3-2-0,5-9,170,,Orthodox,Feb 01 1980,3.52,56%,4.71,63%,3.10,66%,57%,0.0,
